Data,Types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29:00:00,2.982620118,1.666666667,7.55,0.370833333,0.708333333,3.495833333,0.3125,2.245833333,0.1375,3.625,4.375,12.3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30:00:00,3.437921063,0.014814815,0.274074074,1.844444444,26.01481481,2.059259259,0.222222222,0.037037037,0,0.866666667,14.97777778,16.96296296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31:00:00,2.355042363,0.779601407,6.420867526,0.094958968,0.453692849,0.035169988,0.075029308,1.324736225,0.080890973,1.334114889,10.45955451,7.912075029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32:00:00,2.818252182,1.4,4.610526316,7.168421053,1.336842105,0.210526316,0.031578947,0.084210526,0,2.178947368,15.86315789,12.25263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33:00:00,3.723097187,1.072916667,5.552083333,5.9375,19.70833333,4.9375,0.427083333,0.375,0.041666667,3.583333333,7.9375,26.26041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34:00:00,3.285906531,0.857142857,8.74025974,2.25974026,8.363636364,2.558441558,1.025974026,0.324675325,0.012987013,3.402597403,9.012987013,15.74025974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35:00:00,2.902584639,0.608695652,3.380434783,3.043478261,8.336956522,0.22826087,0,0.510869565,0,2.380434783,17.32608696,14.35869565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36:00:00,3.532713729,0,1.555555556,0,29.66666667,0,0,0,0,3.111111111,34.33333333,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37:00:00,2.597234421,0,0.259259259,12.11111111,0.345679012,0.197530864,0,0.024691358,0,0.740740741,12.83950617,7.839506173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38:00:00,3.502845371,0.727272727,5.727272727,3,17.36363636,0,0.272727273,0.909090909,0,5.545454545,33.54545455,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
